id_text,Designation,lemma
P342151,"AoF 05, 12",Nanaya-iddin[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Anu-balassu-iqbi[00]PN māru[son]N X[1]LN ina[in]PRP hūdu[happiness]N libbu[interior]N mišlu[half]NU ina[in]PRP ūmu[day]N ina[in]PRP ūmu[day]N 13-KAM₂[]NU isqu[share]N x[NA]NA x[NA]NA x[NA]NA ina[in]PRP ūmu[day]N 13-KAM₂[]NU šū[he]IP isqu[share]N šuāti[him]IP x[NA]NA x[NA]NA šuāti[him]IP ša[of]DET mahru[front]N Anu[1]DN Antu[1]DN Ellil[1]DN Ea[1]DN x[NA]NA unqu[ring]N X-Anu-X[00]PN
P342152,"AoF 05, 13",x[NA]NA x[NA]NA x[NA]NA Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET X[00]PN Anu-mar-ittannu[00]PN māru[son]N ša[of]DET X[00]PN Nidintu-Ištar[00]PN māru[son]N ša[of]DET X[00]PN Arad-Ninurta[00]PN māru[son]N ša[of]DET Anu-mar-ittannu[00]PN Arad-Ninurta[00]PN māru[son]N ša[of]DET Nidintu-X[00]PN Anu-uballiṭ[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN x[NA]NA Anu-qišanni[00]PN ṭupšarru[scribe]N galamāhu[chief-lamentation-priest]N x[NA]NA Uruk[1]SN Abu[1]MN ūmu[day]N 3-KAM₂[]NU šattu[year]N 120-KAM₂[]NU x[NA]NA unqu[ring]N X[00]PN
P342153,"AoF 05, 14",x[NA]NA 12[]NU x[NA]NA gabbu[totality]N ša[that]REL x[NA]NA māru[son]N Kuri[1]LN X[00]PN mukinnu[witness]N X[00]PN Anu-balassu-iqbi[00]PN x[NA]NA Anu-ah-X[00]PN x[NA]NA x[NA]NA x[NA]NA
P342154,"AoF 05, 15",x[NA]NA X[00]PN māru[son]N ša[of]DET X[00]PN māru[son]N Hunzu[1]LN x[NA]NA Nidintu-Anu[00]PN ṭupšarru[scribe]N x[NA]NA ūmu[day]N 22-KAM₂[]NU šattu[year]N x[NA]NA unqu[ring]N X[00]PN unqu[ring]N X[00]PN
P342155,"AoF 05, 16",unqu[ring]N Anu-ah-iddin[00]PN
P342156,"AoF 05, 17",māru[son]N ša[of]DET X[00]PN ana[to]PRP ūmu[day]N ṣiātu[distant-time]N šū[he]IP x[NA]NA mukinnu[witness]N Anu-X[00]PN māru[son]N ša[of]DET X[00]PN x[NA]NA Anu-ah-ittannu[00]PN x[NA]NA Illut-Anu[00]PN māru[son]N ša[of]DET X[00]PN X[00]PN māru[son]N ša[of]DET Ana-rabut-Anu[00]PN x[NA]NA Ubar[00]PN māru[son]N ša[of]DET X[00]PN X[00]PN māru[son]N ša[of]DET X[00]PN māru[son]N Hunzu[1]LN x[NA]NA
P342157,"AoF 05, 18",x[NA]NA ana[to]PRP x[NA]NA x[NA]NA X[00]PN māru[son]N ša[of]DET X[00]PN māru[son]N Ahʾutu[1]LN x[NA]NA x[NA]NA u[and]CNJ Anu-X-ittannu[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN Ina-qibit-Anu[00]PN x[NA]NA mahru[that-can-be-faced]AJ eṭru[paid-(off)]AJ x[NA]NA kišubbû[waste-field]N šuāti[him]IP bašû[exist]V Ina-qibit-Anu[00]PN X[00]PN māru[son]N ša[of]DET Tattannu[00]PN māru[son]N Ekur-zakir[1]LN marāqu[rub]V adi[until]PRP 12-TA.AM₃[]NU ana[to]PRP Nanaya-iddin[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN unqu[ring]N X[00]PN mumarriqānu[guarantor]N kišubbû[waste-field]N šuāti[him]IP
P342158,"AoF 05, 19",ana[to]PRP ūmu[day]N ṣiātu[distant-time]N nadānu[give]V pūtu[forehead]N ahāmiš[one-another]AV ana[to]PRP marāqu[rub]V x[NA]NA x[NA]NA x[NA]NA ina[in]PRP kišubbû[waste-field]N šuāti[him]IP X[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN ana[to]PRP Nanaya-iddin[00]PN x[NA]NA našû[lift]V kišubbû[waste-field]N šū[he]IP ša[of]DET Nanaya-iddin[00]PN māru[son]N ša[of]DET X-Anu[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN māru[son]N ša[of]DET X[00]PN ana[to]PRP ūmu[day]N ṣiātu[distant-time]N šū[he]IP mukinnu[witness]N x[NA]NA X[00]PN māru[son]N ša[of]DET Anu-ahhe-ittannu[00]PN māru[son]N Ekur-zakir[1]LN X[00]PN māru[son]N ša[of]DET Balaṭu[00]PN māru[son]N Luštammar-Adad[1]LN X[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN māru[son]N Luštammar-Adad[1]LN X[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN māru[son]N Ahʾutu[1]LN Illut-Anu[00]PN māru[son]N ša[of]DET X[00]PN māru[son]N Hunzu[1]LN Rihat-Anu[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN X[00]PN māru[son]N ša[of]DET X[00]PN māru[son]N Hunzu[1]LN Rihat-Anu[00]PN māru[son]N ša[of]DET X[00]PN X[00]PN māru[son]N ša[of]DET Nidintu-X[00]PN X[00]PN māru[son]N ša[of]DET Anu-mar-iddin[00]PN māru[son]N x[NA]NA X[00]PN ṭupšarru[scribe]N māru[son]N ša[of]DET X[00]PN māru[son]N Ekur-zakir[1]LN Uruk[1]SN x[NA]NA ūmu[day]N x-KAM₂[]NU šattu[year]N x-KAM₂[]NU x[NA]NA u[and]CNJ Antiochus[1]RN māru[son]N šarru[king]N unqu[ring]N Anu-uballiṭ[00]PN unqu[ring]N Ina-qibit-Anu[00]PN
P342159,"AoF 05, 20",unqu[ring]N Anu-ah-ittannu[00]PN
P342160,"AoF 05, 21",x[NA]NA mala[as-much-as]PRP bašû[exist]V gabbu[totality]N x[NA]NA unqu[ring]N Nanaya-iddin[00]PN unqu[ring]N X[00]PN
P342161,"AoF 05, 22",ana[to]PRP ūmu[day]N ṣiātu[distant-time]N x[NA]NA unqu[ring]N Nidintu-X[00]PN
P342162,"AoF 05, 23",x-ma[NA]NA gabbu[totality]N ša[that]REL Dumqi-Anu[00]PN x[NA]NA ana[to]PRP ūmu[day]N ṣiātu[distant-time]N x[NA]NA mala[as-much-as]PRP ūmu[day]N unqu[ring]N X[00]PN unqu[ring]N X[00]PN
P342163,"AoF 05, 24",x[NA]NA DUMU[NA]NA ša₂[NA]NA x[NA]NA Hunzu[1]LN {m}{d}x[NA]NA x[NA]NA Anu-zer-iddin[00]PN māru[son]N Luštammar-Adad[1]LN x[NA]NA Anu-uballiṭ[00]PN ṭupšarru[scribe]N māru[son]N ša[of]DET Ina-qibit-Anu[00]PN x[NA]NA šattu[year]N 151-KAM[]NU Demetrios[1]RN šarru[king]N unqu[ring]N X[00]PN unqu[ring]N X[00]PN
P342164,"Babyloniaca 08, 27-35",Kittu-Anu[00]PN māru[son]N ša[of]DET Illut-Anu[00]PN ašlāku[fuller]N ina[in]PRP hūdu[happiness]N libbu[interior]N bītu[house]N epšu[made]AJ bītu[house]N rittu[hand]N ina[in]PRP erṣetu[earth]N tubqu[corner]N 7[]NU makkūru[property]N Anu[1]DN ša[that]REL qerbu[centre]N Uruk[1]SN šiddu[side]N elû[upper]AJ ištānu[north]N ṭāh[adjacent-to]PRP bītu[house]N Adešu-ṭabat[00]PN mārtu[daughter]N ša[of]DET Anu-balassu-iqbi[00]PN bāʾeru[hunter]N ša[that]REL enna[now]AV ingâ[right-now]AV Dumqi-Anu[00]PN māru[son]N ša[of]DET Anu-ah-utir[00]PN nagāru[joiner]N kullu[hold]V u[and]CNJ ṭāh[adjacent-to]PRP bītu[house]N Anu-mar-ittannu[00]PN ēpišu[doer]N dullu[trouble]N ša[of]DET bītu[house]N ilu[god]N šiddu[side]N šaplû[lower]AJ šūtu[south]N kišādu[neck]N Nar-Ištar[1]WN pūtu[forehead]N elû[upper]AJ amurru[west]N ṭāh[adjacent-to]PRP bītu[house]N Tattannu-Nanaya[00]PN wardu[slave]N ša[of]DET Kephalon[00]PN māru[son]N ša[of]DET Anu-balassu-iqbi[00]PN u[and]CNJ ṭāh[adjacent-to]PRP bītu[house]N Nidintu-šarri[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN wardu[slave]N ša[of]DET māru[son]N ša[of]DET Anu-belšunu[00]PN māru[son]N ša[of]DET Anu-balassu-iqbi[00]PN pūtu[forehead]N šaplû[lower]AJ šadû[east]N ṭāh[adjacent-to]PRP sūqu[street]N qatnu[thin]AJ mūradu[descent]N Nar-Ištar[1]WN napharu[total]N šiddu[side]N u[and]CNJ pūtu[forehead]N mišihtu[measurement]N bītu[house]N šuāti[him]IP bītu[house]N šuāti[him]IP wīṣu[few]AJ u[and]CNJ mādu[many]AJ mala[as-much-as]PRP bašû[exist]V gabbu[totality]N ana[to]PRP 1/3[]NU manû[mina]N 5[]NU šiqlu[unit]N kaspu[silver]N qalû[roasted]AJ istatirru[stater]N ša[of]DET Seleucus[1]RN babbanûtu[excellence]N ana[to]PRP šīmu[price]N gamru[complete]AJ ana[to]PRP Kittu-Anu[00]PN māru[son]N ša[of]DET Anu-zer-iddin[00]PN māru[son]N ša[of]DET Rihat-Anu[00]PN ana[to]PRP ūmu[day]N ṣiātu[distant-time]N nadānu[give]V kaspu[silver]N ā[that]IP 1/3[]NU manû[mina]N 5[]NU šiqlu[unit]N šīmu[price]N bītu[house]N šuāti[him]IP gamru[complete]AJ Kittu-Anu[00]PN māru[son]N ša[of]DET Illut-Anu[00]PN ina[in]PRP qātu[hand]N Kittu-Anu[00]PN māru[son]N ša[of]DET Anu-zer-iddin[00]PN mahru[that-can-be-faced]AJ eṭru[paid-(off)]AJ ūmu[day]N baqāru[claim]V ana[to]PRP muhhu[skull]N bītu[house]N šuāti[him]IP bašû[exist]V Ṭalattaʾ[00]PN māru[son]N ša[of]DET Anu-uballiṭ[00]PN ašlāku[fuller]N adi[until]PRP 12-TA.AM₃[]NU marāqu[rub]V ana[to]PRP Kittu-Anu[00]PN māru[son]N ša[of]DET Anu-zer-iddin[00]PN ana[to]PRP ūmu[day]N ṣiātu[distant-time]N nadānu[give]V pūtu[forehead]N ahāmiš[one-another]AV ana[to]PRP marāqu[rub]V ša[of]DET bītu[house]N šuāti[him]IP Kittu-Anu[00]PN nādinānu[giver]N bītu[house]N šuāti[him]IP u[and]CNJ Ṭalattaʾ[00]PN māru[son]N ša[of]DET Anu-uballiṭ[00]PN mumarriqānu[guarantor]N bītu[house]N šuāti[him]IP ana[to]PRP Kittu-Anu[00]PN māru[son]N ša[of]DET Anu-zer-iddin[00]PN māru[son]N ša[of]DET Rihat-Anu[00]PN ana[to]PRP ūmu[day]N ṣiātu[distant-time]N našû[lift]V bītu[house]N šuāti[him]IP ša[of]DET Kittu-Anu[00]PN māru[son]N ša[of]DET Anu-zer-iddin[00]PN māru[son]N ša[of]DET Rihat-Anu[00]PN ana[to]PRP ūmu[day]N ṣiātu[distant-time]N šū[he]IP mukinnu[witness]N Nidintu-Anu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN māru[son]N ša[of]DET Uppulu[00]PN māru[son]N Ahʾutu[1]LN Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Anu-ušallim[00]PN māru[son]N ša[of]DET Zeriya[00]PN māru[son]N Gimil-Anu[1]LN Anu-ah-ittannu[00]PN māru[son]N ša[of]DET Anu-balassu-iqbi[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN māru[son]N Ekur-zakir[1]LN Nanaya-iddin[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Anu-uballiṭ[00]PN māru[son]N Kuri[1]LN Rihat-Ištar[00]PN māru[son]N ša[of]DET Anu-belšunu[00]PN māru[son]N ša[of]DET Rihat-Ištar[00]PN māru[son]N Luštammar-Adad[1]LN Anu-ah-ittannu[00]PN māru[son]N ša[of]DET Nidintu-Ištar[00]PN māru[son]N ša[of]DET Anu-ah-ittannu[00]PN māru[son]N Šumati[1]LN Nanaya-iddin[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Illut-Anu[00]PN Kidin-Anu[00]PN māru[son]N ša[of]DET Anu-bullissu[00]PN māru[son]N ša[of]DET Rihat-Anu[00]PN Anu-qišanni[00]PN ṭupšarru[scribe]N galamāhu[chief-lamentation-priest]N Anu[1]DN māru[son]N ša[of]DET Nidintu-Anu[00]PN māru[son]N Sin-leqi-unninni[1]LN Uruk[1]SN Nisannu[1]MN ūmu[day]N 17-KAM₂[]NU šattu[year]N 130-KAM₂[]NU Seleucus[1]RN šarru[king]N unqu[ring]N Kittu-Anu[00]PN nādinānu[giver]N bītu[house]N šuāti[him]IP unqu[ring]N Ṭalattaʾ[00]PN mumarriqānu[guarantor]N bītu[house]N šuāti[him]IP unqu[ring]N Anu-ah-ittannu[00]PN unqu[ring]N Nidintu-Anu[00]PN unqu[ring]N Nanaya-iddin[00]PN unqu[ring]N Anu-ah-ittannu[00]PN
P342165,"Babyloniaca 15, 07",Anu-ahhe-iddin[00]PN u[and]CNJ Ištar-šum-eriš[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN māru[son]N ša[of]DET Anu-ahhe-iddin[00]PN māru[son]N Ahʾutu[1]LN ina[in]PRP hūdu[happiness]N libbu[interior]N mišlu[half]NU ina[in]PRP kišubbû[waste-field]N erṣetu[earth]N abullu[gate]N Šamaš[1]DN ša[that]REL qerbu[centre]N Uruk[1]SN šiddu[side]N elû[upper]AJ ištānu[north]N ṭāh[adjacent-to]PRP kišubbû[waste-field]N ša[of]DET Demetrios[00]PN māru[son]N ša[of]DET Archias[00]PN māhirānu[receiver]N šuāti[him]IP šiddu[side]N šaplû[lower]AJ šūtu[south]N ṭāh[adjacent-to]PRP bītu[house]N Idat-Anu[00]PN māru[son]N ša[of]DET Ina-qibit-Nanaya[00]PN ša[that]REL qabû[say]V māru[son]N ša[of]DET Arad-AMA-ARHUŠ[00]PN pūtu[forehead]N elû[upper]AJ amurru[west]N ṭāh[adjacent-to]PRP sūqu[street]N lā[not]MOD waṣû[going-out]AJ mūṣû[exit]N ša[of]DET Hakidda[00]PN māru[son]N ša[of]DET Abuta[00]PN u[and]CNJ nišu[people]N šanû[(an)other]AJ pūtu[forehead]N šaplû[lower]AJ šadû[east]N ṭāh[adjacent-to]PRP sūqu[street]N qatnu[thin]AJ mūradu[descent]N šap-pi[NA]NA napharu[total]N šiddu[side]N u[and]CNJ pūtu[forehead]N mišihtu[measurement]N kišubbû[waste-field]N ana[to]PRP 10[]NU šiqlu[unit]N kaspu[silver]N qalû[roasted]AJ istatirru[stater]N ša[of]DET Demetrios[1]RN babbanûtu[excellence]N ana[to]PRP šīmu[price]N gamru[complete]AJ ana[to]PRP Demetrios[1]RN māru[son]N ša[of]DET Archias[00]PN pālihu[guardian]N ša[of]DET Syros[00]PN māru[son]N ša[of]DET Kephalon[00]PN māru[son]N ša[of]DET Syros[00]PN ana[to]PRP ūmu[day]N ṣiātu[distant-time]N nadānu[give]V kaspu[silver]N ā[that]IP 10[]NU šiqlu[unit]N šīmu[price]N mišlu[half]NU ina[in]PRP kišubbû[waste-field]N šuāti[him]IP gamru[complete]AJ Anu-ahhe-iddin[00]PN u[and]CNJ Ištar-šum-eriš[00]PN nādinu[giver]N šuāti[him]IP ina[in]PRP qātu[hand]N Demetrios[1]RN mahru[that-can-be-faced]AJ eṭru[paid-(off)]AJ ūmu[day]N baqāru[claim]V ana[to]PRP muhhu[skull]N mišlu[half]NU kišubbû[waste-field]N šuāti[him]IP bašû[exist]V Anu-ahhe-iddin[00]PN u[and]CNJ Ištar-šum-eriš[00]PN nādinu[giver]N šuāti[him]IP marāqu[rub]V adi[until]PRP 12-TA-A₄[]NU ana[to]PRP Demetrios[1]RN šuāti[him]IP ana[to]PRP ūmu[day]N ṣiātu[distant-time]N nadānu[give]V pūtu[forehead]N ahāmiš[one-another]AV ana[to]PRP marāqu[rub]V ša[of]DET mišlu[half]NU kišubbû[waste-field]N šuāti[him]IP Anu-ahhe-iddin[00]PN u[and]CNJ Ištar-šum-eriš[00]PN šuāti[him]IP ana[to]PRP Demetrios[1]RN šuāti[him]IP ana[to]PRP ūmu[day]N ṣiātu[distant-time]N našû[lift]V mišlu[half]NU ina[in]PRP kišubbû[waste-field]N šuāti[him]IP Demetrios[1]RN šuāti[him]IP ana[to]PRP ūmu[day]N ṣiātu[distant-time]N šū[he]IP mukinnu[witness]N Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Anu-ah-iddin[00]PN māru[son]N ša[of]DET Anu-ikṣur[00]PN māru[son]N Kuri[1]LN Labaši[00]PN māru[son]N ša[of]DET Anu-ah-ittannu[00]PN māru[son]N ša[of]DET Labaši[00]PN u[and]CNJ Ina-qibit-Anu[00]PN u[and]CNJ Nidintu-Anu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN māru[son]N ša[of]DET Anu-belšunu[00]PN māru[son]N Ahʾutu[1]LN Kidin-Anu[00]PN māru[son]N ša[of]DET Anu-ah-ittannu[00]PN māru[son]N ša[of]DET Kidin-Anu[00]PN u[and]CNJ Idat-Anu[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN māru[son]N ša[of]DET Eriba[00]PN māru[son]N Ekur-zakir[1]LN Šamaš-eṭir[00]PN māru[son]N ša[of]DET Anu-ittannu[00]PN māru[son]N ša[of]DET Anu-ušallim[00]PN māru[son]N ša[of]DET Luštammar-Adad[1]LN Anu-mar-ittannu[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN māru[son]N ša[of]DET Kidin-Anu[00]PN māru[son]N Hunzu[1]LN Ina-qibit-Anu[00]PN ṭupšarru[scribe]N māru[son]N ša[of]DET Šamaš-eṭir[00]PN māru[son]N Ekur-zakir[1]LN Uruk[1]SN Tašritu[1]MN ūmu[day]N 30-KAM[]NU šattu[year]N 1-ME[]NU 61-KAM[]NU Demetrios[1]RN šarru[king]N unqu[ring]N Kidin-Anu[00]PN unqu[ring]N Ina-qibit-Anu[00]PN unqu[ring]N Ina-qibit-Anu[00]PN unqu[ring]N Anu-mar-iddin[00]PN unqu[ring]N Šamaš-eṭir[00]PN unqu[ring]N Labaši[00]PN unqu[ring]N Nidintu-Anu[00]PN unqu[ring]N Idat-Anu[00]PN unqu[ring]N Anu-ahhe-iddin[00]PN nādinu[giver]N šuāti[him]IP unqu[ring]N Ištar-šum-eriš[00]PN
P342168,"BagM Beih. 02, 113",ṭuppu[tablet]N Anu-balassu-iqbi[00]PN ana[to]PRP Anu-belšunu[00]PN u[and]CNJ Nidintu-Anu[00]PN bēlu[lord]N Anu[1]DN u[and]CNJ Antu[1]DN šulmu[completeness]N u[and]CNJ balāṭu[life]N ša[of]DET bēlu[lord]N ana[to]PRP ūmu[day]N ṣiātu[distant-time]N qabû[say]V adi[until]PRP ūmu[day]N 15.KAM[]NU ša[of]DET warhu[month]N agâ[this]IP Tašritu[1]MN ani[now]AV šulmu[completeness]N šipirtu[message]N ša[of]DET ahu[brother]N ina[in]PRP Tašritu[1]MN wabālu[carry]V ina[in]PRP qātu[hand]N ša[of]DET Bel-uballissu[00]PN Babilayu[Babylonian]EN hatanu[in-law]N ša[of]DET Ṣalla[00]PN ša[that]REL ištu[from]PRP kapru[village]N Suqayu[Suqaean]EN u[and]CNJ ul[not]MOD šaṭāru[write]V mīnu[what]XP kī[like]PRP tu-qi₂-bil[NA]NA x[NA]NA u[and]CNJ kī[like]PRP yānu[(there)-is-not]V x[NA]NA kapru[village]N Suqayu[Suqaean]EN x[NA]NA edû[know]V târu[turn]V a-x[NA]NA Herotheos[00]PN māru[son]N ša[of]DET Zoilos[00]PN nazāqu[be-vexed]V ina[in]PRP nikkassu[account]N libbu[interior]N erṣetu[earth]N x[NA]NA tattūru[profit]N 2[]NU warhu[month]N agâ[this]IP raʾābu[be-angry]V attū[belonging-to]PRP qerēbu[approach]V ana[to]PRP muhhu[skull]N u[and]CNJ alāku[go]V amāru[see]V u[and]CNJ qabû[say]V mā[what!]J ana[to]PRP Uruk[1]SN abāku[lead-away]V attunu[you]IP enna[now]AV agâ[this]IP qerēbu[approach]V ana[to]PRP muhhu[skull]N abu[father]N ša[that]REL anīnu[we]IP asûtu[medical-skill]N epēšu[do]V kī[like]PRP pānu[front]N šaknu[placed]AJ šemû[hear]V x[NA]NA x[NA]NA X[NA]NA ana[to]PRP u₂[NA]NA X[NA]NA x[NA]NA X[NA]NA šu₂[NA]NA ana[to]PRP x[NA]NA X[NA]NA X[NA]NA x[NA]NA
